id,price,desc,numstories,yearbuilt,exteriorfinish,rooftype,basement,totalrooms,bedrooms,bathrooms,fireplaces,sqft,lotarea,zipcode,AvgIncome,Location,DistDowntown
PA10258,432500,SINGLE FAMILY,2,1988,Brick,SHINGLE,1,9,5,2.5,1,4112,11400,15236,46913,NotCity,7.695
PA10261,86000,SINGLE FAMILY,1,1931,Brick,SHINGLE,1,6,3,1.5,1,1080,10336,15037,55863,NotCity,18.97
PA10698,875000,SINGLE FAMILY,1,1950,Stone,SLATE,1,10,3,3,2,3322,23950,15243,60717,NotCity,7.224
PA10417,460000,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,7,3,2,0,2323,1218,15212,26712,PartCity,2.168
PA10452,900000,SINGLE FAMILY,1,1995,Frame,SHINGLE,1,3,1,1,0,1011,496671,15235,41367,PartCity,10.963
PA10419,27000,MOBILE HOME,1,1968,Frame,METAL,1,4,2,1,0,696,14767,15026,69387,NotCity,23.041
PA10230,460000,SINGLE FAMILY,2,1962,Brick,SLATE,1,8,4,3,0,2540,12460,15243,60717,NotCity,7.224
PA10315,80900,SINGLE FAMILY,2,1930,Brick,SHINGLE,1,6,3,2,0,1134,2500,15227,38439,PartCity,6.258
PA10030,42500,ROWHOUSE,2,1900,Frame,SHINGLE,1,4,1,1,0,1024,816,15224,22880,City,4.644
PA10386,1250000,SINGLE FAMILY,2,1998,Stucco,SHINGLE,1,13,4,6,2,6705,87120,15044,95289,NotCity,16.661
PA10224,394000,SINGLE FAMILY,1,2001,Brick,SHINGLE,1,6,3,1.5,0,1980,11848,15225,30625,NotCity,8.932
PA10536,1700000,SINGLE FAMILY,2,1936,Brick,SLATE,1,12,6,6.5,2,7622,166573,15238,67370,NotCity,11.876
PA10582,121325,SINGLE FAMILY,2,1993,Frame,SHINGLE,1,6,3,1,1,2359,9749,15044,95289,NotCity,16.661
PA10906,299900,CONDOMINIUM,1,2006,Brick,SHINGLE,1,7,3,1.5,0,2634,10404,15025,60669,NotCity,13.094
PA10510,89500,SINGLE FAMILY,1,1925,Frame,SHINGLE,1,6,2,1,0,900,5000,15223,33724,NotCity,6.432
PA10078,154900,SINGLE FAMILY,2,1938,Frame,SHINGLE,1,6,3,1,1,1190,3600,15226,37889,PartCity,3.976
PA10631,254000,SINGLE FAMILY,2,1990,Brick,SHINGLE,1,9,3,2.5,1,2412,7869,15025,60669,NotCity,13.094
PA10653,180500,SINGLE FAMILY,1,1961,Brick,SHINGLE,1,7,3,2,1,1750,11104,15235,41367,PartCity,10.963
PA10905,185500,SINGLE FAMILY,1.5,1940,Brick,SHINGLE,1,7,3,1,0,1251,5500,15238,67370,NotCity,11.876
PA10749,155000,SINGLE FAMILY,2,1893,Frame,SHINGLE,1,5,2,1,0,1244,3500,15025,60669,NotCity,13.094
PA10671,495000,SINGLE FAMILY,2,2003,Brick,SHINGLE,1,9,4,3.5,1,4025,42819,15044,95289,NotCity,16.661
PA10615,127000,SINGLE FAMILY,1,1954,Brick,SHINGLE,1,6,3,1.5,0,1267,10960,15241,85102,NotCity,10.798
PA10934,172500,MULTI-FAMILY,2.5,1925,Brick,SLATE,1,9,4,2,0,2160,2482,15218,35983,PartCity,6.905
PA10495,66000,SINGLE FAMILY,2,1950,Brick,SHINGLE,1,5,2,1.5,0,1165,3600,15213,18473,City,3.316
PA10633,412705,CONDOMINIUM,2,2016,Frame,SHINGLE,1,7,3,3,0,3016,8889,15236,46913,NotCity,7.695
PA10146,1175000,SINGLE FAMILY,2,1933,Brick,SLATE,1,9,3,5,2,4020,27764,15228,58440,NotCity,7.011
PA10304,299900,CONDOMINIUM,2,2014,Brick,SHINGLE,0,6,3,2.5,0,2424,0,15237,55016,NotCity,11.386
PA10384,400000,SINGLE FAMILY,1,1989,Stone,SHINGLE,1,8,3,2.5,1,6341,745007,15025,60669,NotCity,13.094
PA10854,36000,SINGLE FAMILY,1,1940,Brick,SHINGLE,1,6,3,1,1,972,4155,15235,41367,PartCity,10.963
PA10621,311000,SINGLE FAMILY,1.5,1940,Frame,SHINGLE,1,10,5,2.5,1,2693,31200,15236,46913,NotCity,7.695
PA10889,365000,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,7,4,2,0,2349,2500,15215,43750,PartCity,7.116
PA10500,133000,SINGLE FAMILY,1.5,1940,Stone,SHINGLE,1,7,3,2,1,1635,7800,15236,46913,NotCity,7.695
PA10793,495000,SINGLE FAMILY,2,1967,Frame,SHINGLE,1,9,5,2.5,2,2675,25788,15215,43750,PartCity,7.116
PA10530,234000,CONDOMINIUM,1,2000,Frame,SHINGLE,0,6,2,2.5,1,1596,0,15025,60669,NotCity,13.094
PA10196,527500,SINGLE FAMILY,2,2004,Brick,SHINGLE,1,10,4,4.5,0,3791,51501,15332,62875,NotCity,20.091
PA10642,930000,SINGLE FAMILY,2,1980,Stucco,ROLL,1,14,6,7,1,5879,22601,15243,60717,NotCity,7.224
PA10482,282219,SINGLE FAMILY,2,2017,Frame,SHINGLE,1,8,4,2.5,0,2108,7500,15026,69387,NotCity,23.041
PA10574,450000,SINGLE FAMILY,1.7,2005,Brick,SHINGLE,0,8,4,2.5,0,3038,7685,15243,60717,NotCity,7.224
PA10611,43000,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,5,3,1,0,1360,880,15224,22880,City,4.644
PA10612,1250000,SINGLE FAMILY,2,2001,Brick,SHINGLE,1,10,4,4.5,0,6434,104152,15044,95289,NotCity,16.661
PA10170,175000,SINGLE FAMILY,2,2006,Frame,SHINGLE,1,6,3,1.5,0,1320,3697,15214,30725,PartCity,4.168
PA10585,350000,MOBILE HOME,1,2017,Frame,SHINGLE,1,6,3,2,0,1769,3320902,15026,69387,NotCity,23.041
PA10084,2220000,SINGLE FAMILY,2,1999,Frame,METAL,1,12,6,7,3,11436,209698,15044,95289,NotCity,16.661
PA10259,79900,SINGLE FAMILY,1,1980,Brick,SHINGLE,1,7,3,2,1,1746,8466,15037,55863,NotCity,18.97
PA10105,171000,SINGLE FAMILY,1,1957,Brick,SHINGLE,1,6,3,1,1,1226,11084,15218,35983,PartCity,6.905
PA10178,1457750,SINGLE FAMILY,2,2001,Stucco,SHINGLE,1,8,4,4.5,1,4540,77101,15238,67370,NotCity,11.876
PA10646,185000,SINGLE FAMILY,1,1960,Stone,SHINGLE,1,6,3,1.5,1,1862,14187,15037,55863,NotCity,18.97
PA10518,235150,SINGLE FAMILY,2,2008,Frame,SHINGLE,1,8,4,2.5,0,2552,14363,15025,60669,NotCity,13.094
PA10976,547500,SINGLE FAMILY,2,1924,Brick,SLATE,1,7,4,3,0,2745,14634,15216,39526,PartCity,3.842
PA10785,94000,SINGLE FAMILY,2,1962,Brick,SHINGLE,1,7,4,2,1,1900,20250,15215,43750,PartCity,7.116
PA10383,216300,SINGLE FAMILY,2,1994,Brick,SHINGLE,1,7,4,2.5,1,3120,14375,15044,95289,NotCity,16.661
PA10112,67500,SINGLE FAMILY,1,1955,Brick,SHINGLE,1,4,1,1,0,658,6000,15237,55016,NotCity,11.386
PA10897,276335,CONDOMINIUM,2,2011,Frame,SHINGLE,1,8,4,2.5,0,2756,0,15227,38439,PartCity,6.258
PA10031,346250,SINGLE FAMILY,2,2005,Frame,SHINGLE,1,8,4,2.5,0,3911,15072,15037,55863,NotCity,18.97
PA10872,394000,CONDOMINIUM,1,2007,Concrete,ROLL,0,3,1,1.5,0,1315,0,15222,18598,City,0.522
PA10373,120000,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,5,3,1.5,0,910,13348,15212,26712,PartCity,2.168
PA10931,254915,SINGLE FAMILY,2,2012,Frame,SHINGLE,1,8,4,2.5,0,2408,16546,15025,60669,NotCity,13.094
PA10772,119000,CONDOMINIUM,2,1989,Frame,SHINGLE,1,4,2,2,0,1408,0,15235,41367,PartCity,10.963
PA10493,299900,SINGLE FAMILY,2,2007,Brick,SHINGLE,1,8,4,2.5,0,2354,29039,15025,60669,NotCity,13.094
PA10932,86500,SINGLE FAMILY,2,1948,Brick,SHINGLE,1,6,3,1,0,1108,2700,15227,38439,PartCity,6.258
PA10748,42000,SINGLE FAMILY,1,1940,Brick,SHINGLE,1,6,2,1.5,0,932,10560,15214,30725,PartCity,4.168
PA10427,1080000,SINGLE FAMILY,2,1993,Brick,SHINGLE,1,14,5,6.5,1,6170,229300,15044,95289,NotCity,16.661
PA10238,277100,SINGLE FAMILY,2,2016,Frame,SHINGLE,1,8,4,2.5,0,2248,7264,15026,69387,NotCity,23.041
PA10511,265000,SINGLE FAMILY,1,1952,Brick,SHINGLE,1,7,3,2.5,0,2106,9565,15243,60717,NotCity,7.224
PA10253,300000,CONDOMINIUM,2,1993,Frame,SHINGLE,1,7,3,1.5,0,1806,1536,15212,26712,PartCity,2.168
PA10411,390000,SINGLE FAMILY,2,1987,Stucco,SLATE,1,9,3,2.5,1,3680,44475,15237,55016,NotCity,11.386
PA10596,253000,SINGLE FAMILY,2,1990,Frame,SHINGLE,1,9,4,2.5,1,2548,11857,15044,95289,NotCity,16.661
PA10065,250000,SINGLE FAMILY,2,1910,Brick,SHINGLE,1,8,4,2,0,1431,2200,15213,18473,City,3.316
PA10326,500000,SINGLE FAMILY,2,1975,Brick,SHINGLE,1,11,5,3.5,2,4228,435600,15025,60669,NotCity,13.094
PA10747,1370000,SINGLE FAMILY,2,1958,Brick,SHINGLE,1,8,4,2.5,1,2708,40435,15235,41367,PartCity,10.963
PA10069,167500,SINGLE FAMILY,1,1927,Frame,SHINGLE,1,6,3,1,0,1266,27356,15044,95289,NotCity,16.661
PA10131,499900,SINGLE FAMILY,2,2014,Frame,SHINGLE,1,9,4,3.5,0,4614,10577,15026,69387,NotCity,23.041
PA10129,900000,SINGLE FAMILY,2,1936,Stone,SLATE,1,9,4,5,2,5980,17710,15243,60717,NotCity,7.224
PA10666,420000,SINGLE FAMILY,2,1925,Brick,SLATE,1,10,6,2,1,2730,6000,15213,18473,City,3.316
PA10402,37000,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,6,3,1.5,0,1629,1680,15213,18473,City,3.316
PA10227,82000,CONDOMINIUM,2,1984,Frame,SHINGLE,1,4,2,1.5,0,992,1200,15236,46913,NotCity,7.695
PA10544,280000,SINGLE FAMILY,1.5,1956,Brick,SHINGLE,1,9,4,3,2,2300,7281,15243,60717,NotCity,7.224
PA10923,112000,SINGLE FAMILY,1,1965,Frame,SHINGLE,1,6,3,2,1,1630,18731,15332,62875,NotCity,20.091
PA10675,964012,SINGLE FAMILY,2,1956,Frame,SHINGLE,1,7,4,3.5,2,5886,44083,15215,43750,PartCity,7.116
PA10704,47500,SINGLE FAMILY,1,1910,Frame,SHINGLE,1,8,4,1,1,2636,21214,15212,26712,PartCity,2.168
PA10403,305700,SINGLE FAMILY,1,1954,Brick,SHINGLE,0,5,3,2,1,1762,13925,15243,60717,NotCity,7.224
PA10026,295000,CONDOMINIUM,1.5,1990,Brick,SHINGLE,1,6,3,3,1,3176,9017,15238,67370,NotCity,11.876
PA10782,165000,SINGLE FAMILY,1,1920,Frame,SHINGLE,1,5,4,1.5,1,1270,7442,15214,30725,PartCity,4.168
PA10997,390000,SINGLE FAMILY,2,1977,Frame,SHINGLE,1,8,4,2.5,1,3272,89646,15238,67370,NotCity,11.876
PA10911,123500,SINGLE FAMILY,1,1950,Brick,SHINGLE,1,5,3,1.5,1,1236,7816,15235,41367,PartCity,10.963
PA10173,51000,SINGLE FAMILY,1,1953,Brick,SHINGLE,1,5,2,1,1,886,7891,15034,57850,NotCity,13.448
PA10424,499900,SINGLE FAMILY,2,1990,Brick,SHINGLE,1,10,4,4,1,4420,30971,15044,95289,NotCity,16.661
PA10098,80000,SINGLE FAMILY,1,1948,Brick,SHINGLE,0,6,3,1,0,1328,1461,15236,46913,NotCity,7.695
PA10960,274000,ROWHOUSE,2,1910,Brick,SHINGLE,1,5,1,1,0,1956,1106,15212,26712,PartCity,2.168
PA10314,30000,SINGLE FAMILY,1,1920,Frame,SHINGLE,1,4,2,1,0,924,2500,15223,33724,NotCity,6.432
PA10418,75000,SINGLE FAMILY,1,1953,Brick,SHINGLE,1,5,2,1.5,1,771,6490,15236,46913,NotCity,7.695
PA10816,68860,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,6,3,1,0,1468,3600,15034,57850,NotCity,13.448
PA10139,197000,SINGLE FAMILY,2,1956,Brick,SHINGLE,1,9,4,2.5,0,2199,6984,15243,60717,NotCity,7.224
PA10667,90000,MULTI-FAMILY,2,1900,Brick,SHINGLE,1,8,4,2,0,1387,1440,15213,18473,City,3.316
PA10725,55000,SINGLE FAMILY,1,1942,Frame,SHINGLE,0,4,2,1,0,850,6182,15225,30625,NotCity,8.932
PA10736,540000,SINGLE FAMILY,2,1973,Brick,SHINGLE,0,9,4,4.5,1,4294,92696,15215,43750,PartCity,7.116
PA10839,92000,SINGLE FAMILY,1,1952,Brick,SHINGLE,1,5,3,1,0,925,10500,15332,62875,NotCity,20.091
PA10504,150000,SINGLE FAMILY,2,1930,Frame,SHINGLE,1,6,3,2,0,1426,3000,15226,37889,PartCity,3.976
PA10663,168000,SINGLE FAMILY,2,1940,Brick,SHINGLE,1,8,3,2,1,1918,24000,15241,85102,NotCity,10.798
PA10720,59900,SINGLE FAMILY,1,1917,Frame,SHINGLE,1,5,2,2,0,1316,2875,15014,42500,NotCity,21.713
PA10251,120000,SINGLE FAMILY,1,1959,Brick,SHINGLE,1,5,2,1,1,1782,11256,15025,60669,NotCity,13.094
PA10188,520000,SINGLE FAMILY,2,1966,Frame,SHINGLE,1,9,5,2.5,1,2512,88427,15238,67370,NotCity,11.876
PA10183,454500,SINGLE FAMILY,2,1992,Frame,SHINGLE,1,10,4,4.5,2,3933,43952,15044,95289,NotCity,16.661
PA10119,64300,ROWHOUSE,2,1900,Frame,SHINGLE,1,7,3,2.5,0,2242,2054,15212,26712,PartCity,2.168
PA10767,159900,SINGLE FAMILY,1,1977,Frame,SHINGLE,1,7,3,2.5,0,1931,9093,15037,55863,NotCity,18.97
PA10342,89900,SINGLE FAMILY,2,1947,Brick,SHINGLE,1,6,3,2,1,1232,5701,15243,60717,NotCity,7.224
PA10903,29000,SINGLE FAMILY,1,1950,Frame,SHINGLE,1,5,2,1,0,900,4500,15223,33724,NotCity,6.432
PA10567,44500,SINGLE FAMILY,2,1920,Brick,ROLL,1,4,2,1,0,900,784,15224,22880,City,4.644
PA10972,248000,SINGLE FAMILY,2,1992,Brick,SHINGLE,1,7,4,2,0,2160,18432,15332,62875,NotCity,20.091
PA10426,39900,SINGLE FAMILY,2,1905,Frame,SHINGLE,1,4,2,1,0,952,2500,15225,30625,NotCity,8.932
PA10752,65000,CONDOMINIUM,1,1983,Brick,SHINGLE,0,5,2,1.5,0,851,0,15215,43750,PartCity,7.116
PA10954,123500,SINGLE FAMILY,2,1964,Brick,SHINGLE,1,6,3,1.5,0,1260,8400,15235,41367,PartCity,10.963
PA10757,234200,SINGLE FAMILY,2,2012,Frame,SHINGLE,1,8,4,2.5,0,1988,14415,15025,60669,NotCity,13.094
PA10583,450000,SINGLE FAMILY,2,1995,Brick,SHINGLE,1,9,5,3.5,1,3842,135123,15044,95289,NotCity,16.661
PA10231,170000,SINGLE FAMILY,1,1971,Frame,SHINGLE,1,5,2,1,0,1092,2115273,15332,62875,NotCity,20.091
PA10132,300000,SINGLE FAMILY,1,2014,Brick,SHINGLE,1,7,3,2.5,0,1687,11354,15025,60669,NotCity,13.094
PA10581,575872,SINGLE FAMILY,2,2017,Frame,SHINGLE,1,9,4,2.5,0,3476,20114,15237,55016,NotCity,11.386
PA10350,285000,SINGLE FAMILY,2,2013,Frame,SHINGLE,1,8,4,2.5,0,1934,7468,15026,69387,NotCity,23.041
PA10140,238000,SINGLE FAMILY,1,1950,Brick,SHINGLE,1,5,2,1.5,1,1980,16486,15220,44018,PartCity,3.907
PA10979,339960,SINGLE FAMILY,2,2017,Frame,SHINGLE,1,7,3,2.5,0,2296,43645,15025,60669,NotCity,13.094
PA10175,79900,SINGLE FAMILY,2,1905,Frame,SHINGLE,1,8,4,1,0,2475,26377,15037,55863,NotCity,18.97
PA10142,59900,SINGLE FAMILY,1,1961,Frame,SHINGLE,1,7,3,2,1,1200,8375,15237,55016,NotCity,11.386
PA10391,262000,SINGLE FAMILY,1,1958,Brick,SHINGLE,1,7,4,2,1,1482,10298,15243,60717,NotCity,7.224
PA10740,45550,SINGLE FAMILY,2.5,1905,Brick,SHINGLE,1,12,6,2,0,3225,1350,15219,14399,City,0
PA10874,95900,CONDOMINIUM,1,1972,Brick,ROLL,0,3,1,1,0,965,0,15215,43750,PartCity,7.116
PA10390,675000,SINGLE FAMILY,2,1990,Brick,SHINGLE,1,9,4,5,1,3529,31415,15044,95289,NotCity,16.661
PA10138,122000,SINGLE FAMILY,1,1944,Frame,SHINGLE,1,7,3,3,1,1144,70132,15044,95289,NotCity,16.661
PA10488,85000,SINGLE FAMILY,1,1958,Brick,SHINGLE,1,6,3,1,2,1001,22416,15241,85102,NotCity,10.798
PA10214,135000,SINGLE FAMILY,1,1950,Brick,SHINGLE,1,4,2,1,1,686,30692,15025,60669,NotCity,13.094
PA10034,144900,SINGLE FAMILY,1,1956,Brick,SHINGLE,1,7,3,2,0,1063,32096,15236,46913,NotCity,7.695
PA10810,280000,SINGLE FAMILY,1,1945,Brick,SLATE,1,7,3,2,1,2834,9460,15243,60717,NotCity,7.224
PA10486,47000,SINGLE FAMILY,3,1890,Brick,ROLL,1,5,2,1.5,0,3170,3091,15213,18473,City,3.316
PA10578,284800,CONDOMINIUM,1,2012,Brick,SHINGLE,1,5,3,2.5,0,1894,0,15237,55016,NotCity,11.386
PA10443,187500,SINGLE FAMILY,1.5,1991,Brick,SHINGLE,1,5,3,2.5,1,1522,7526,15224,22880,City,4.644
PA10145,51000,CONDOMINIUM,1,1930,Brick,ROLL,0,3,1,1,0,978,0,15216,39526,PartCity,3.842
PA10037,100000,SINGLE FAMILY,1,1950,Brick,SHINGLE,1,6,2,1,0,1160,6000,15037,55863,NotCity,18.97
PA10589,154000,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,6,3,2,1,1085,5566,15226,37889,PartCity,3.976
PA10553,1500000,MULTI-FAMILY,2,1900,Brick,SHINGLE,1,12,6,3,3,3310,3710,15213,18473,City,3.316
PA10930,585000,SINGLE FAMILY,2.5,1889,Brick,SHINGLE,1,7,4,2.5,2,2828,9000,15218,35983,PartCity,6.905
PA10082,348000,SINGLE FAMILY,2,1990,Brick,SHINGLE,1,8,4,3,1,2972,13235,15236,46913,NotCity,7.695
PA10476,283000,SINGLE FAMILY,1.5,2002,Frame,SHINGLE,1,6,3,2.5,1,2459,21039,15037,55863,NotCity,18.97
PA10260,69900,SINGLE FAMILY,1,1960,Brick,SHINGLE,1,6,2,1,0,1385,11469,15030,50313,NotCity,17.039
PA10437,27200,SINGLE FAMILY,1.5,1920,Frame,SHINGLE,1,5,3,1.5,0,986,7410,15003,37868,NotCity,21.495
PA10029,299000,SINGLE FAMILY,2,1920,Frame,SHINGLE,1,9,4,2.5,0,3066,6533,15214,30725,PartCity,4.168
PA10091,85000,SINGLE FAMILY,1,1955,Brick,SHINGLE,1,7,3,2.5,1,1395,14000,15241,85102,NotCity,10.798
PA10950,342000,SINGLE FAMILY,1.5,2002,Brick,SHINGLE,1,7,3,2.5,0,1963,91040,15236,46913,NotCity,7.695
PA10828,222200,SINGLE FAMILY,2.5,1900,Frame,SHINGLE,1,7,3,2,0,3110,8648,15226,37889,PartCity,3.976
PA10813,426900,SINGLE FAMILY,2,1992,Stucco,SHINGLE,1,9,4,3.5,1,3976,16435,15044,95289,NotCity,16.661
PA10272,349900,SINGLE FAMILY,2,2017,Frame,SHINGLE,1,8,4,2.5,0,3232,13500,15025,60669,NotCity,13.094
PA10577,125000,MULTI-FAMILY,2,1910,Brick,SHINGLE,1,10,4,2,0,2376,4440,15218,35983,PartCity,6.905
PA10935,78000,SINGLE FAMILY,2,1950,Frame,SHINGLE,1,6,3,1,1,1161,10013,15241,85102,NotCity,10.798
PA10168,897500,SINGLE FAMILY,2,1938,Brick,SLATE,1,9,4,4,1,3934,113735,15215,43750,PartCity,7.116
PA10303,1195000,SINGLE FAMILY,2,1940,Brick,SHINGLE,1,12,4,6.5,5,10852,130680,15238,67370,NotCity,11.876
PA10508,150000,SINGLE FAMILY,1,1952,Brick,SHINGLE,1,5,2,1,0,1432,175634,15037,55863,NotCity,18.97
PA10575,333000,SINGLE FAMILY,1.5,2003,Brick,SHINGLE,1,6,3,2.5,0,2204,13504,15025,60669,NotCity,13.094
PA10564,77500,CONDOMINIUM,2,1986,Brick,SHINGLE,1,4,2,1.5,0,930,1271,15236,46913,NotCity,7.695
PA10093,512708,SINGLE FAMILY,2,2017,Frame,SHINGLE,1,10,4,2.5,0,3429,15180,15026,69387,NotCity,23.041
PA10990,567500,CONDOMINIUM,2,1970,Stucco,ROLL,1,6,3,1,0,2008,2875,15218,35983,PartCity,6.905
PA10282,65000,SINGLE FAMILY,2,1976,Brick,SHINGLE,1,8,4,2.5,1,2208,9000,15237,55016,NotCity,11.386
PA10762,85000,SINGLE FAMILY,1,1920,Frame,SHINGLE,1,3,1,1,0,475,2500,15218,35983,PartCity,6.905
PA10754,223500,SINGLE FAMILY,2,1910,Brick,ROLL,1,7,2,2,0,2204,1800,15212,26712,PartCity,2.168
PA10010,156000,SINGLE FAMILY,1,1968,Brick,SHINGLE,1,7,3,1.5,0,1453,7808,15025,60669,NotCity,13.094
PA10655,240000,SINGLE FAMILY,2,1988,Brick,SHINGLE,1,8,4,2.5,1,2824,20875,15025,60669,NotCity,13.094
PA10362,228000,SINGLE FAMILY,2,1989,Frame,SHINGLE,1,8,4,3.5,1,2046,12866,15044,95289,NotCity,16.661
PA10273,128000,SINGLE FAMILY,1,1952,Brick,SHINGLE,1,6,2,1,0,1080,13875,15243,60717,NotCity,7.224
PA10604,419000,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,10,6,3.5,3,5310,12600,15218,35983,PartCity,6.905
PA10095,119900,SINGLE FAMILY,2,1952,Brick,SHINGLE,0,6,3,1.5,0,1440,9040,15236,46913,NotCity,7.695
PA10809,84900,SINGLE FAMILY,1,1940,Frame,SHINGLE,1,5,2,2,0,1187,7500,15034,57850,NotCity,13.448
PA10327,440000,SINGLE FAMILY,2,1964,Brick,SLATE,1,9,4,3.5,1,2200,15737,15243,60717,NotCity,7.224
PA10115,30000,SINGLE FAMILY,1,1926,Frame,SHINGLE,1,5,3,1,0,827,2500,15223,33724,NotCity,6.432
PA10249,450400,SINGLE FAMILY,2,1972,Frame,SHINGLE,1,8,4,2.5,1,2595,53797,15044,95289,NotCity,16.661
PA10677,111000,SINGLE FAMILY,1,1951,Brick,SHINGLE,1,5,3,1.5,2,1285,165964,15003,37868,NotCity,21.495
PA10397,125000,SINGLE FAMILY,1,1930,Frame,SHINGLE,1,6,3,1.5,0,823,17473,15044,95289,NotCity,16.661
